id,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
51,male,74,180,86,9,88,39.7,50
52,male,39,187,87,24,104,41,151
53,male,35,174,78,29,102,41,162
54,female,23,168,66,7,91,39.6,30
55,female,76,155,55,22,100,40.8,141
56,male,39,192,91,18,92,40.5,82
57,female,42,169,69,13,94,39.6,65
58,female,21,168,58,5,87,39.3,20
59,male,29,197,94,29,111,40.8,203
60,female,37,160,59,9,95,39.9,46
61,female,45,165,63,9,93,39.8,45
62,female,56,169,61,20,103,40.2,126
63,female,34,186,72,17,99,40.6,90
64,female,48,183,71,26,104,40.6,159
65,female,50,164,63,13,102,40,79
66,male,79,170,75,18,95,40.6,119
67,male,24,170,68,15,94,40.1,54
68,female,69,172,73,19,103,40.2,121
69,female,73,160,59,9,87,39.7,44
70,female,30,164,61,5,79,38.8,16
71,female,70,149,51,28,98,40.6,172
72,male,78,177,86,23,100,40.8,173
73,male,50,180,83,29,116,41.2,247
74,male,29,169,68,15,92,40.6,54
75,female,28,171,68,4,85,39,15
76,male,25,184,85,22,99,40.4,106
77,male,49,173,79,27,109,40.8,198
78,male,27,189,86,5,87,39.2,16
79,female,32,163,60,11,100,39.4,61
80,male,42,184,83,30,110,41.1,217
81,female,43,179,77,2,83,37.9,7
82,male,47,177,80,27,104,40.8,176
83,female,29,174,75,14,95,40.1,67
84,male,36,186,84,19,97,40.5,95
85,female,24,152,55,10,94,40,48
86,female,47,173,67,2,86,38.1,8
87,male,51,192,96,19,97,40.6,114
88,female,36,154,59,5,87,39.3,21
89,female,25,165,66,24,104,40.6,139
90,male,20,182,81,3,89,38.4,9
91,male,67,189,97,22,103,40.7,169
92,female,23,186,74,19,112,40.6,123
93,female,22,169,68,16,94,40.3,74
94,male,27,190,90,28,106,40.4,170
95,male,51,201,98,24,96,40.3,141
96,female,66,155,62,19,99,40.5,114
97,male,47,191,98,29,116,40.8,252
98,male,54,188,87,21,104,40.3,147
99,female,31,160,62,13,92,40.1,61
100,female,48,156,54,23,106,40.4,151
101,male,69,183,92,8,90,39.6,46
102,male,22,181,85,15,96,40.1,63
103,male,21,178,77,13,97,40,54
104,male,70,192,93,29,114,40.8,273
105,female,20,164,62,10,85,40,37
106,male,27,172,71,13,96,40.2,54
107,male,37,190,87,8,92,39.4,35
108,female,67,155,58,9,92,39.4,48
109,female,48,165,67,21,106,40.8,134
110,male,52,180,82,14,95,40.2,76
111,male,57,208,113,29,116,41,276
112,male,55,183,88,3,79,38.6,10
113,male,57,184,92,18,103,40.4,128
114,female,25,157,54,5,85,39.1,20
115,male,50,183,84,7,84,39.5,26
116,female,58,192,83,18,101,40.8,105
117,male,22,183,84,1,76,37.8,1
118,female,62,176,69,8,91,39.8,40
119,female,74,162,67,23,100,40.8,143
120,male,38,186,88,27,102,40.9,160
121,male,79,190,95,17,91,40.4,109
122,female,59,166,67,22,93,40.2,114
123,male,20,176,73,18,97,40.9,72
124,female,29,143,45,17,92,40.4,82
125,male,44,183,85,17,109,40.3,123
126,female,25,166,61,15,104,40.2,88
127,male,20,177,79,4,81,38.9,7
128,female,25,158,62,10,90,39.7,43
129,female,21,165,65,24,106,40.7,142
130,male,45,184,85,10,90,39.8,44
131,female,21,175,74,13,95,40.2,60
132,female,34,173,67,14,94,40.2,68
133,male,57,171,78,14,85,40,57
134,female,38,160,61,22,112,40.4,152
135,female,31,153,52,6,91,39.2,28
136,female,44,162,60,5,88,38.9,22
137,female,48,159,63,17,87,40,75
138,female,56,166,67,20,101,40.8,120
139,male,23,180,82,14,91,40.3,48
140,male,62,203,108,3,86,38.2,15
141,male,21,193,88,15,102,39.8,77
142,female,58,170,72,11,97,40.1,61
143,female,60,169,68,18,99,40.4,105
144,female,48,175,70,14,99,40.1,78
145,female,31,153,54,4,86,39.1,16
146,male,76,179,85,16,98,40.3,114
147,female,71,176,72,11,92,39.4,57
148,male,41,182,87,14,100,39.7,81
149,male,37,187,85,26,103,40.5,156
150,female,34,156,52,11,87,39.9,47
151,male,79,198,96,9,87,39.7,52
152,female,28,168,66,28,109,40.7,178
153,male,43,190,98,17,107,40.2,122
154,male,35,193,93,10,83,39.7,30
155,female,24,182,71,30,106,41,177
156,male,62,181,83,28,112,41,238
157,female,68,176,73,21,94,40.3,113
158,male,55,182,83,22,100,40.7,140
159,female,49,153,52,24,104,40.7,153
160,female,51,162,63,24,103,40.9,148
161,female,47,155,55,16,93,40.5,82
162,female,25,179,69,27,112,40.7,178
163,male,25,187,82,23,101,41,116
164,female,45,151,50,20,93,40.5,103
165,female,28,157,53,3,81,38.5,11
166,female,28,162,61,12,92,39.9,55
167,female,54,166,71,23,103,40.7,141
168,male,45,191,94,12,96,39.8,66
169,female,73,178,78,29,115,40.9,221
170,male,29,190,94,4,76,38.8,7
171,male,43,190,96,11,98,39.7,63
172,female,22,157,53,19,100,40.5,104
173,female,20,146,46,14,91,40.5,64
174,female,20,165,66,7,90,39.2,29
175,female,22,168,66,4,87,38.5,16
176,female,59,157,58,18,96,40.2,101
177,male,25,179,80,4,89,39.1,13
178,female,52,154,61,18,89,40.3,85
179,female,29,160,56,28,113,40.6,194
180,female,34,146,53,7,93,39.8,35
181,male,50,184,83,27,100,40.9,165
182,female,69,169,67,29,111,40.7,211
183,male,47,175,76,30,113,41.3,233
184,male,28,185,82,27,99,40.9,132
185,male,62,170,77,9,86,39.6,40
186,male,58,203,101,15,101,40.1,106
187,female,23,162,59,2,83,38.4,7
188,male,29,169,74,26,105,40.7,147
189,female,26,172,68,7,82,38.9,24
190,male,46,176,76,2,81,38,6
191,male,21,193,92,20,108,40.5,122
192,male,53,178,88,12,97,40,71
193,male,25,166,70,5,85,39.4,12
194,male,24,201,94,14,99,40.5,69
195,male,59,186,90,9,88,39.9,44
196,female,20,156,53,28,102,41,158
197,female,40,172,70,11,94,39.7,54
198,female,28,167,63,1,73,37.6,3
199,female,21,168,65,22,107,40.6,133
200,female,23,172,62,23,103,40.8,131
201,female,43,159,58,16,90,40.1,75
202,male,56,182,87,16,91,39.9,82
203,male,24,167,66,27,100,40.5,121
204,male,26,190,95,29,109,40.7,191
205,male,54,190,94,8,86,39.8,35
206,male,71,189,95,5,77,38.8,20
207,male,38,173,72,3,75,38.5,5
208,male,22,192,92,14,93,40.5,55
209,female,46,158,60,23,109,40.6,156
210,male,75,199,103,28,123,40.5,314
211,female,79,162,58,18,95,40.1,106
212,male,32,179,81,26,110,41,174
213,male,41,192,99,22,98,40.5,126
214,male,42,183,90,12,95,39.7,61
215,female,35,167,69,11,96,39.8,56
216,male,77,174,82,23,94,40.7,149
217,male,25,177,76,5,85,39.1,12
218,female,23,158,55,16,111,40.6,106
219,male,62,169,68,13,88,40.1,59
220,female,30,172,68,28,107,40.8,172
221,female,73,146,53,18,105,40.4,124
222,female,66,172,68,21,104,40.3,136
223,male,62,182,84,21,106,40.5,160
224,female,58,155,55,17,92,40.5,89
225,female,31,164,66,12,88,39.8,50
226,female,36,177,74,16,94,39.9,77
227,male,28,185,88,19,98,40.5,92
228,male,54,190,95,22,110,40.3,178
229,female,20,151,46,25,98,40.8,133
230,male,29,178,79,1,82,37.4,2
231,female,33,167,67,17,99,40,91
232,female,24,159,62,9,87,39.6,36
233,male,48,185,88,15,103,40,99
234,male,47,185,92,2,94,38.1,11
235,female,41,153,60,7,85,39.3,29
236,female,40,181,75,7,83,39.5,26
237,male,26,181,81,4,79,39.1,7
238,female,41,154,58,6,91,39.2,29
239,female,44,172,61,5,82,38.9,19
240,female,55,163,63,24,96,40.7,132
241,male,76,190,94,7,90,39,43
242,male,36,195,94,11,89,39.5,44
243,female,32,150,54,14,94,40.1,70
244,female,63,162,58,19,107,40.5,131
245,female,22,169,62,4,81,38.7,13
246,female,64,162,70,13,95,40.4,71
247,female,39,163,65,7,85,39.6,28
248,male,28,194,97,20,103,41,116
249,female,20,171,68,23,99,41.1,118
250,female,64,183,79,17,99,40.3,98
251,female,78,154,60,9,85,39.7,43
252,female,42,178,74,11,93,40,53
253,male,31,176,75,20,97,40.5,91
254,male,21,195,99,26,101,40.9,136
255,male,27,176,78,9,86,39.6,25
256,female,70,161,63,13,85,39.9,60
257,female,22,158,57,26,108,40.7,163
258,female,52,191,78,16,92,40.5,77
259,male,55,192,98,28,111,41.1,233
260,female,25,173,64,26,104,40.6,151
261,male,50,195,94,29,104,40.9,202
262,male,45,194,97,12,99,39.9,72
263,female,39,177,74,6,78,39.1,19
264,female,60,162,61,12,86,39.9,54
265,male,23,193,93,29,103,41.1,159
266,male,23,186,86,24,97,41,106
267,male,22,176,72,26,104,41,133
268,male,20,206,95,17,86,40.5,48
269,male,32,181,84,22,100,40.7,116
270,female,39,177,73,27,105,40.8,163
271,male,26,177,78,23,104,40.3,125
272,male,61,185,92,30,111,41.1,255
273,female,54,150,51,29,108,40.7,201
274,male,22,180,84,28,111,40.7,180
275,male,48,178,80,6,76,39.5,14
276,female,20,164,65,25,105,40.5,145
277,female,79,161,62,15,94,39.6,86
278,female,51,162,59,21,107,40.7,140
279,male,55,174,70,3,89,38.6,13
280,male,63,193,104,14,94,40.2,88
281,male,34,196,103,17,96,40.4,88
282,female,42,159,64,15,87,39.8,64
283,female,78,149,54,21,103,40.5,142
284,female,28,154,59,14,92,40.5,65
285,female,33,163,61,21,104,40.8,126
286,female,50,167,59,2,84,38.6,8
287,male,37,168,68,25,97,41.1,118
288,male,27,181,79,17,94,40.3,68
289,male,54,164,67,18,93,40.8,88
290,male,24,194,95,7,84,39.4,19
291,female,58,152,53,28,99,41.3,168
292,female,20,176,69,10,84,40.2,35
293,male,53,179,83,14,99,39.7,85
294,male,38,196,100,29,111,40.6,219
295,female,32,158,58,8,89,39.5,35
296,female,53,160,59,19,100,40.3,113
297,female,62,148,54,20,97,40.1,117
298,female,32,162,65,16,94,40.1,78
299,male,74,195,97,8,94,39.5,53
300,male,68,186,88,4,87,39.1,21
301,male,33,180,79,23,106,40.9,141
302,male,24,175,77,18,93,40,66
303,male,22,165,68,18,94,40.1,64
304,male,22,198,97,1,79,37.5,2
305,female,25,149,47,28,106,40.8,175
306,female,47,152,54,17,104,40.3,108
307,male,67,176,78,24,101,40.9,167
308,female,20,171,69,25,109,41,155
309,male,25,191,85,25,105,40.7,143
310,female,21,157,56,17,100,40,92
311,female,32,161,63,17,99,40.3,92
312,female,29,171,69,4,81,39.3,13
313,male,25,171,75,28,102,40.8,141
314,female,39,159,62,15,93,40,74
315,female,30,173,65,22,107,40.4,136
316,female,42,150,52,25,98,40.7,141
317,female,50,174,68,11,95,40.1,58
318,male,56,182,85,6,96,39.2,35
319,female,24,162,61,23,98,40.9,119
320,female,34,168,69,16,96,40.3,81
321,female,54,148,56,3,82,38.5,12
322,male,34,192,87,24,105,41.2,148
323,male,21,168,67,11,92,40.1,35
324,female,71,164,64,14,94,40.4,78
325,female,32,153,56,7,82,39.8,26
326,male,50,182,85,14,90,40.2,65
327,male,69,183,94,7,88,39.4,38
328,female,26,168,59,13,90,39.9,57
329,female,40,170,68,6,87,39.4,25
330,male,34,186,79,10,84,40.2,28
331,female,48,169,65,11,94,39.3,56
332,male,71,177,83,17,100,40,121
333,male,77,188,94,12,104,39.9,99
334,male,34,184,88,5,82,39.1,14
335,female,63,123,40,9,97,39.9,55
336,male,46,173,77,5,91,39.1,22
337,female,66,165,63,26,98,40.7,153
338,female,26,162,62,26,101,41,144
339,female,50,163,64,12,94,40.3,62
340,female,54,157,63,20,96,40.7,110
341,female,24,166,65,24,114,40.8,164
342,male,77,171,74,18,103,40.8,138
343,female,54,171,70,8,78,39.1,28
344,female,39,164,68,15,89,40.4,66
345,male,25,180,85,23,105,41,131
346,male,68,183,90,24,104,40.8,186
347,female,62,154,59,16,107,40.2,110
348,male,73,198,101,18,97,40.7,129
349,male,72,193,93,2,88,38,11
350,female,30,184,77,7,91,39.4,30
351,female,40,155,54,19,98,40.5,106
352,female,61,161,57,18,97,40.1,104
353,female,39,169,71,21,101,40.6,118
354,female,22,167,64,13,93,39.8,59
355,female,20,157,54,29,101,41,160
356,female,43,157,61,7,88,39.1,31
357,male,33,183,87,23,100,41.3,124
358,male,64,188,95,17,95,40.3,107
359,female,58,154,58,2,89,38,10
360,male,60,184,89,12,89,40.2,61
361,female,37,171,66,10,88,39.9,43
362,female,36,173,70,4,93,38.8,19
363,female,39,164,60,29,110,40.8,196
364,female,23,169,65,24,98,40.6,123
365,male,21,197,103,14,99,40,70
366,female,61,170,68,16,101,40.2,97
367,female,53,165,70,21,89,40.4,97
368,male,57,188,90,5,81,38.9,19
369,male,47,201,104,28,107,41,209
370,female,62,167,63,20,107,40.6,136
371,male,53,170,73,16,96,40,87
372,male,24,191,93,17,110,40.5,112
373,female,21,168,65,28,112,41,184
374,female,44,169,69,7,88,39.8,31
375,male,25,179,84,18,94,40.6,72
376,male,73,188,93,29,111,40.9,264
377,male,37,192,97,27,103,40.7,169
378,male,22,167,73,18,94,40.7,66
379,male,31,180,76,11,92,40.2,42
380,female,75,172,75,8,86,39.2,37
381,female,40,171,72,13,100,40,72
382,male,48,166,73,7,100,39.3,41
383,female,37,151,52,15,89,40.4,69
384,female,27,168,64,27,110,40.8,175
385,female,26,169,62,11,79,39.8,35
386,male,69,188,85,14,106,40,112
387,male,23,185,84,21,101,40.6,105
388,male,35,169,75,5,90,38.7,19
389,male,72,183,86,24,105,40.5,192
390,female,49,173,67,10,85,39.5,42
391,male,31,186,91,14,96,40.1,67
392,female,46,161,65,7,85,39.7,29
393,male,52,182,86,28,104,40.3,193
394,female,26,167,59,28,106,40.6,171
395,female,45,163,58,5,84,38.9,21
396,male,65,191,87,23,103,40.9,170
397,female,20,158,52,29,110,41.1,189
398,male,39,185,81,12,101,40,68
399,male,76,179,79,19,105,40.5,153
400,female,55,159,59,7,86,39.1,31
401,male,70,189,94,23,107,40.5,193
402,female,52,178,74,22,98,40.4,121
403,male,75,172,74,10,98,39.7,68
404,male,30,186,89,27,102,40.9,151
405,male,37,179,82,28,101,40.7,157
406,female,35,156,51,27,102,40.7,161
407,male,25,187,91,13,89,40,44
408,male,61,169,72,29,110,41,230
409,male,43,193,98,19,100,40.2,116
410,male,74,187,90,12,77,40.1,47
411,male,73,178,80,10,92,40.1,60
412,male,65,163,66,1,91,37.3,5
413,female,26,176,68,13,91,40,57
414,male,22,187,85,26,112,40.9,172
415,female,32,168,67,11,93,39.7,52
416,female,31,156,57,26,104,40.6,156
417,female,72,176,75,29,106,40.9,194
418,male,63,190,94,21,95,40.7,131
419,male,78,191,91,24,98,40.6,176
420,female,24,153,48,21,101,40.2,119
421,male,31,187,91,14,96,40.4,67
422,female,22,168,68,3,84,38.6,11
423,male,21,184,81,23,94,40.4,87
424,female,27,165,62,22,93,40.3,103
425,female,38,178,73,11,95,39.7,54
426,female,29,152,56,25,94,40.7,123
427,female,32,165,63,10,95,40.3,50
428,male,62,174,75,27,106,40.9,200
429,female,25,158,56,9,85,39.5,35
430,male,31,184,80,18,93,40.7,73
431,female,28,154,60,25,102,40.7,142
432,female,79,164,66,18,96,40.1,106
433,female,31,157,61,26,115,40.7,185
434,male,30,185,84,28,103,40.9,157
435,female,40,171,72,23,102,40.9,132
436,female,37,161,62,27,110,40.4,180
437,male,59,172,80,16,102,40,109
438,male,37,174,73,16,93,40.3,67
439,female,23,148,53,8,96,39.6,41
440,male,33,180,82,21,101,40.7,114
441,female,34,161,56,18,102,40.6,105
442,female,30,158,59,29,104,40.9,173
443,female,24,170,66,9,89,39.8,37
444,female,52,154,57,11,89,40.1,53
445,male,32,177,76,17,96,40.5,76
446,male,76,167,65,20,95,40.5,124
447,male,73,181,91,19,98,40.6,135
448,female,23,159,54,6,86,39.5,24
449,male,60,184,84,4,85,39.3,17
450,male,78,195,104,18,96,40.7,132
451,male,48,181,85,22,103,41,143
452,female,32,171,67,7,84,39.6,26
453,male,65,184,87,27,104,40.6,203
454,female,45,167,70,6,86,39.3,25
455,male,25,162,63,25,106,40.4,135
456,male,45,187,89,8,82,39.6,26
457,male,54,187,85,26,96,40.7,149
458,female,41,166,62,25,107,40.8,161
459,female,31,173,64,16,86,40.3,64
460,female,37,185,83,2,84,38.2,7
461,male,79,192,98,7,79,39.3,33
462,female,42,177,68,13,90,40,59
463,female,56,150,54,5,94,39.2,27
464,male,26,194,94,14,89,40.4,49
465,male,43,183,83,25,99,41.1,141
466,male,22,181,81,28,111,40.8,179
467,male,50,187,90,16,99,40.1,98
468,male,27,168,64,24,105,40.5,128
469,male,77,181,84,17,94,40.3,111
470,male,23,181,81,11,93,40,41
471,male,22,183,84,29,102,40.5,148
472,male,26,191,93,13,89,40.3,46
473,female,63,156,56,17,104,40.6,112
474,female,62,166,65,1,73,37.9,3
475,female,46,184,79,17,97,40.1,89
476,female,60,162,60,24,98,40.7,140
477,male,51,186,88,3,81,38.6,10
478,female,21,171,66,16,97,40.2,79
479,male,51,181,84,3,75,38.5,7
480,female,23,172,64,28,117,40.8,200
481,male,21,188,89,4,80,38.6,7
482,female,40,172,74,16,96,40.5,81
483,female,42,170,70,25,111,40.5,169
484,male,51,181,82,10,95,39.5,54
485,male,58,184,84,16,97,40.3,97
486,female,74,162,69,8,97,39.7,47
487,male,20,192,92,10,85,39.8,26
488,male,40,180,80,28,108,40.9,190
489,female,24,169,59,21,109,40.6,134
490,female,56,156,55,2,76,38.8,7
491,female,40,164,57,27,108,40.6,178
492,female,31,180,75,27,104,40.9,155
493,female,24,158,56,26,100,40.9,142
494,female,29,165,58,12,90,39.8,54
495,female,79,170,75,8,87,39.4,38
496,female,50,170,68,3,84,38.4,12
497,female,32,160,57,27,110,40.7,180
498,female,29,147,50,17,96,40.2,89
499,female,46,166,66,4,84,39,16
500,male,38,176,77,2,80,38.6,5
501,female,25,158,58,29,107,40.9,180
502,male,53,196,102,2,89,38.2,10
503,female,47,176,79,7,86,39.5,28
504,male,44,194,98,20,101,40.6,126
505,male,71,187,92,27,109,40.4,234
506,female,33,160,57,13,100,40,73
507,female,39,172,72,3,87,38.7,12
508,male,34,187,91,26,110,40.9,183
509,female,55,165,64,23,102,40.8,141
510,male,31,202,102,6,82,39.4,17
511,male,46,174,80,2,89,38.1,8
512,female,20,172,70,21,112,40.9,136
513,female,26,182,80,21,96,40.5,100
514,male,63,204,112,29,110,40.4,257
515,male,48,173,75,14,93,40.2,67
516,female,43,138,46,19,97,40.4,107
517,female,26,164,62,15,95,39.8,73
518,female,60,157,59,12,90,40.4,60
519,female,26,168,65,13,88,40.3,53
520,female,58,158,63,13,97,40.4,73
521,male,50,179,79,12,99,39.8,71
522,male,42,164,71,15,95,39.9,71
523,female,25,147,47,25,108,40.5,162
524,male,43,185,94,16,103,40.3,103
525,female,78,175,74,19,101,40.4,119
526,male,62,155,61,14,90,40.2,66
527,male,56,201,100,17,101,40.4,118
528,female,69,162,63,23,104,40.8,152
529,male,27,184,88,6,88,39.4,20
530,female,34,186,78,8,81,39.5,26
531,female,25,167,61,24,107,40.2,148
532,female,21,179,73,9,90,39.6,37
533,male,32,172,76,19,90,40.5,68
534,female,41,174,74,20,109,40.9,130
535,female,66,162,66,24,99,40.7,143
536,female,27,160,64,14,98,39.8,73
537,male,30,202,109,26,102,40.5,156
538,male,31,173,79,4,85,38.6,11
539,female,29,158,51,28,114,40.8,199
540,male,20,186,83,5,102,39.1,25
541,male,38,201,109,23,108,41.2,168
542,male,29,186,87,20,98,40.7,98
543,male,79,188,91,10,96,39.7,71
544,female,20,146,50,19,101,40.4,106
545,female,29,147,50,15,97,40,80
546,male,21,187,84,27,97,40.8,116
547,male,22,186,86,12,97,40.2,53
548,female,42,170,75,14,98,40.3,74
549,male,70,194,97,3,87,38.7,16
550,male,20,172,72,16,102,40,76
551,male,60,179,82,5,95,39.1,29
552,male,37,180,75,9,93,39.4,38
553,male,43,180,81,30,113,40.7,231
554,male,42,176,79,11,99,40.1,60
555,female,44,172,75,14,101,40,79
556,male,23,169,73,25,102,40.7,122
557,male,69,188,91,25,105,40.6,199
558,female,37,175,65,29,101,40.9,165
559,male,20,182,74,12,80,39.9,17
560,male,63,183,86,20,100,40.2,136
561,male,31,182,87,22,94,40.5,96
562,female,61,161,62,22,99,40.8,131
563,male,44,192,94,28,109,41.1,208
564,female,50,174,68,17,93,40.2,85
565,female,23,147,51,21,113,40.5,145
566,male,33,189,93,15,95,40.5,71
567,male,48,169,77,27,109,40.6,196
568,male,51,179,78,15,89,40,66
569,male,21,191,89,9,85,39.5,23
570,male,55,180,86,26,104,40.3,183
571,female,35,164,62,12,92,39.6,57
572,male,28,187,82,16,98,40.2,76
573,female,21,161,58,8,88,39.9,33
574,female,45,160,61,13,102,40.1,78
575,female,42,162,58,19,95,40.7,99
576,female,20,168,67,5,82,39.4,17
577,male,26,185,86,3,83,38.8,7
578,female,25,164,59,5,97,39.6,26
579,female,41,147,53,23,100,40.3,134
580,male,34,192,99,27,113,40.7,206
581,female,60,176,71,24,107,41,160
582,female,36,184,73,23,107,40.8,142
583,male,34,187,91,12,94,39.9,55
584,female,33,179,72,6,94,39.5,29
585,male,49,193,99,24,107,40.9,179
586,male,23,186,93,19,108,40.2,118
587,female,59,168,67,5,91,39.6,25
588,female,52,180,83,6,93,38.8,29
589,female,55,172,68,23,97,40.6,127
590,male,33,196,92,15,98,40,78
591,female,31,190,82,25,114,40.9,168
592,female,50,178,77,29,111,40.7,198
593,female,50,153,56,26,108,40.7,176
594,male,21,195,93,19,104,40.4,105
595,male,79,185,88,26,104,40.7,214
596,male,35,185,86,24,109,40.5,163
597,female,63,174,73,9,88,39.5,42
598,male,21,180,83,23,99,40.6,105
599,male,51,205,109,14,94,40.1,81
600,female,28,174,68,3,83,38.7,11
601,male,64,180,87,1,78,37.7,4
602,female,42,176,71,16,91,40.2,74
603,female,51,178,74,23,95,40.6,119
604,female,20,160,56,6,90,39.2,26
605,female,27,173,67,17,104,40.3,99
606,male,71,180,89,6,96,39.2,40
607,male,28,184,84,16,98,40.1,76
608,female,41,184,83,28,102,40.9,157
609,female,57,158,61,26,104,40.8,167
610,male,35,175,77,25,100,40.8,132
611,male,58,178,80,23,97,40.8,138
612,male,60,181,87,28,106,41,212
613,male,31,188,84,18,106,40.4,110
614,female,24,156,58,8,85,39.6,31
615,male,22,205,107,4,90,38.6,15
616,female,23,172,65,26,108,40.6,161
617,female,24,167,67,30,105,40.9,176
618,female,46,163,58,20,103,40.2,123
619,female,64,153,54,16,95,40.1,91
620,male,61,167,74,10,86,40.1,43
621,male,33,210,117,25,112,40.7,196
622,female,61,159,61,15,90,40.2,75
623,female,40,168,66,6,82,39,22
624,female,22,164,64,17,95,40.3,81
625,female,41,164,61,10,85,39.6,41
626,male,67,193,93,7,71,39.4,19
627,male,29,187,87,28,108,40.9,179
628,male,29,193,93,15,92,40.1,62
629,female,31,165,65,22,90,40.6,97
630,male,44,174,71,11,80,39.9,28
631,female,36,178,78,27,95,40.9,131
632,male,60,167,69,25,110,40.5,195
633,female,27,160,61,16,99,40.3,86
634,male,71,186,82,19,100,40.2,135
635,female,63,145,52,22,94,40.8,123
636,female,28,184,76,6,91,39.3,26
637,male,24,160,61,1,77,37.7,1
638,female,70,154,59,10,88,40,50
639,female,30,168,63,11,98,40,58
640,female,20,146,47,9,92,39.7,42
641,male,48,177,82,30,99,40.5,175
642,female,61,162,63,14,96,40.2,78
643,male,20,176,73,2,84,38.3,4
644,male,54,176,77,18,100,40.6,111
645,male,45,177,81,19,102,40.4,116
646,male,22,193,88,8,87,39.3,23
647,male,52,161,69,11,84,40.1,38
648,female,59,163,64,10,96,39.4,55
649,male,29,173,70,6,81,39.3,12
650,female,44,161,57,25,111,40.9,175
651,female,41,172,74,24,98,40.8,127
652,female,29,178,76,17,99,40.1,88
653,male,36,176,83,26,101,40.8,145
654,male,23,171,71,3,75,38.8,2
655,male,54,194,94,29,106,40.8,216
656,female,66,175,74,28,116,40.8,215
657,female,56,143,49,27,106,40.8,183
658,female,48,171,71,30,110,40.7,203
659,female,50,173,69,24,93,40.8,120
660,male,31,182,89,18,103,40.1,104
661,male,73,195,103,7,89,39.6,42
662,male,24,207,114,29,104,40.5,178
663,male,44,177,77,16,91,40.5,69
664,male,25,181,78,20,106,40.6,114
665,female,24,172,64,30,104,40.7,174
666,female,25,148,49,19,105,40.5,116
667,male,63,185,88,27,113,40.6,238
668,male,25,186,86,11,98,40.1,51
669,male,43,171,76,14,95,40.2,68
670,female,47,172,66,20,108,40.6,132
671,male,39,188,91,24,104,40.8,153
672,female,28,176,67,8,84,39.4,29
673,female,44,163,64,2,92,38,10
674,female,68,159,59,5,87,39.4,24
675,female,76,170,68,27,114,40.9,208
676,female,29,180,76,12,97,39.9,60
677,male,52,187,87,9,91,39.7,44
678,female,26,164,58,18,98,40.4,95
679,male,52,199,94,15,99,39.9,94
680,male,29,186,86,18,96,40.3,82
681,female,23,166,66,17,93,40.2,78
682,male,72,194,98,29,111,40.8,266
683,male,56,182,88,8,96,39.3,47
684,male,54,180,77,25,105,41,173
685,male,49,205,104,11,95,39.8,63
686,male,57,181,89,16,95,40.5,93
687,female,32,166,61,28,107,40.8,176
688,female,51,163,65,26,114,40.8,190
689,male,33,182,88,6,89,39.3,22
690,male,39,191,91,22,90,40.3,93
691,male,40,170,76,18,100,40.4,99
692,female,28,158,60,27,113,40.8,186
693,female,72,165,68,5,84,39,22
694,female,35,173,73,26,101,40.8,144
695,female,35,169,69,22,107,40.8,137
696,female,74,159,62,20,104,40.3,134
697,male,45,200,102,1,85,37.2,4
698,female,43,157,55,28,108,40.9,187
699,female,34,160,62,8,88,39.8,34
700,male,23,171,68,22,101,40.9,102
701,male,35,200,97,5,92,39.1,22
702,male,46,187,88,7,97,39.5,39
